title,link,reviewer,stars,gm,year,sentiment_sentiment_neg,sentiment_sentiment_neu,sentiment_sentiment_pos,sentiment_sentiment_compound,review_length,gm_predicted,gm_predicted_prob
Valerian and the City of a Thousand Planets,https://www.rogerebert.com/reviews/valerian-and-the-city-of-a-thousand-planets-2017,Peter Sobczynski,4.0,False,2017,-0.4803149606299212,-0.03903903903903938,0.165289256198347,0.9993998499624908,-0.14915503306392364,True,0.8897195
Dunkirk,https://www.rogerebert.com/reviews/dunkirk-2017,Matt Zoller Seitz,3.5,False,2017,-0.40157480314960625,0.2612612612612608,-0.3305785123966942,0.9898974743685924,-0.022409992652461463,True,0.99991465
Amnesia,https://www.rogerebert.com/reviews/amnesia-2017,Glenn Kenny,3.5,False,2017,-0.6692913385826771,0.25525525525525516,-0.04132231404958686,0.9980995248812206,-0.3927259368111683,False,0.13084964
The Girl Without Hands,https://www.rogerebert.com/reviews/the-girl-without-hands-2017,Sheila O'Malley,3.5,False,2017,0.03937007874015763,-0.11711711711711725,-0.2727272727272728,-0.9747936984246061,-0.5371050698016165,False,0.0
Endless Poetry,https://www.rogerebert.com/reviews/endless-poetry-2017,Simon Abrams,4.0,False,2017,-0.5826771653543308,0.1771771771771773,-0.024793388429751984,0.9981995498874721,-0.2942689199118296,False,0.13724428
Chasing Coral,https://www.rogerebert.com/reviews/chasing-coral-2017,Godfrey Cheshire,4.0,False,2017,-0.4330708661417323,0.15915915915915946,-0.1570247933884299,0.9948987246811706,-0.36664217487141815,False,0.12839256
Bronx Gothic,https://www.rogerebert.com/reviews/bronx-gothic-2017,Matt Fagerholm,3.5,False,2017,-0.3700787401574803,0.22522522522522515,-0.31404958677685946,0.9856964241060268,-0.1258878275777615,True,0.9055292
Our Time Will Come,https://www.rogerebert.com/reviews/our-time-will-come-2017,Simon Abrams,4.0,False,2017,-0.2283464566929133,-0.12912912912912944,0.024793388429751984,0.9918979744936236,-0.35635562086700956,False,0.008296524
Tour De Pharmacy,https://www.rogerebert.com/reviews/tour-de-pharmacy-2017,Nick Allen,3.5,False,2017,-0.6929133858267716,0.033033033033032844,0.2809917355371898,0.9981995498874721,-0.639235855988244,False,0.0
A Ghost Story,https://www.rogerebert.com/reviews/a-ghost-story-2017,Matt Zoller Seitz,4.0,False,2017,-0.16535433070866146,0.07507507507507505,-0.3223140495867769,-0.08517129282320567,-0.15748224344844486,True,0.7890194
The Little Hours,https://www.rogerebert.com/reviews/the-little-hours-2017,Sheila O'Malley,4.0,False,2017,-0.5826771653543308,0.11711711711711725,0.057851239669421295,0.9980995248812206,-0.4603232916972815,False,0.0
Okja,https://www.rogerebert.com/reviews/okja-2017,Matt Zoller Seitz,3.5,False,2017,-0.2913385826771654,-0.18318318318318294,0.165289256198347,0.9990997749437361,0.08988488856233157,True,0.99991465
